"","PID","Gender","Age","CueMapping","Phase","Block","TrialN","NbackLevel","ISI","ISI_calibrated","CaliEnd_A_measure","Trial_A_measure","Trial_ACC","Trial_RT","CueLearning","TrialDemandLearning","cue_i_on_zyg_values","cue_i_on_zyg_zvalues","cue_e_on_zyg_values","cue_e_on_zyg_zvalues","cue_i_on_scr_values","cue_i_on_scr_zvalues","cue_e_on_scr_values","cue_e_on_scr_zvalues","PhaseType","Choice","ChoiceDemand","TaskDemand","ChoiceRT","cue_e_true_zyg_values","cue_e_true_zyg_zvalues","cue_e_true_cor_values","cue_e_true_cor_zvalues","cue_e_true_scr_values","cue_e_true_scr_zvalues","OfflineRatingTimePoint","TrialDemand","OfflineRating","OfflineRatingRT","cue_i_off_zyg_values","cue_i_off_zyg_zvalues","cue_i_off_cor_values","cue_i_off_cor_zvalues","cue_i_off_scr_values","cue_i_off_scr_zvalues","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRatingRT","BAI_bis","BAI_bas_d","BAI_bas_rr","BAI_bas_fs","NFC","BFI_ext","BFI_agr","BFI_con","BFI_neu","BFI_open","UPPS_lps","UPPS_lpm","UPPS_pu","UPPS_ss"
"033.71",33,"Male",20,"","OFFLINERATING",9,1,1,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T0","Easy",41,1.80745769990608,-2.10390628655722e-05,-0.720573304714252,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.72",33,"Male",20,"","OFFLINERATING",9,2,3,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T0","Hard",55,1.76895360019989,3.07753455705e-05,1.41412752478516,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.73",33,"Male",20,"","OFFLINERATING",9,3,1,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T1","Easy",84,1.36660780012608,,,4.12391984860412e-05,-1.07386430377158,1.47,0.263987474383233,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.74",33,"Male",20,"","OFFLINERATING",9,4,3,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T1","Hard",35,1.08511570002884,,,0.000263601584264416,-0.260006737122572,2.005,0.978188732512336,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.75",33,"Male",20,"","OFFLINERATING",9,5,1,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T2","Easy",86,2.15284070000052,,,,,1.593,0.428187015971794,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.76",33,"Male",20,"","OFFLINERATING",9,6,3,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T2","Hard",32,2.65291910013184,,,,,0.0209999999999999,-1.67036322286736,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.77",33,"Male",20,"","OFFLINERATING",9,7,1,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T3","Easy",53,1.28202709998004,,,0.000699081304405401,1.33387104089415,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.78",33,"Male",20,"","OFFLINERATING",9,8,3,,,,,,,"","",,,,,,,,,"","","","",,,,,,,,"T3","Hard",47,1.18512080004439,-2.03832436201151e-05,-0.693554220070911,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"034.1",34,"Female",29,"B","LEARNING",1,1,1,2583,,,,,,"cue2.png","Easy",0.000138096345386089,0.713331823069914,0.000170945157900047,2.65337972205377,1.386,-0.202354427538124,1.558,0.159850785763987,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
"034.2",34,"Female",29,"B","LEARNING",1,2,3,2583,,,,,,"cue1.png","Hard",1.79531705110795e-05,-0.0385361746120937,3.9665496190971e-05,0.451349263105358,1.449,-0.108299741267714,1.458,-0.0212229012583531,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0.428571428571429,1,0,0.5,2.44444444444444,2.625,2.55555555555556,2.77777777777778,2.5,3.11111111111111,2.25,1.75,1,0.25
