"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
42,0.016769617,"hard","mid",23,"demand_aversive","demand_avoid",0,0.016769617,0,0.5,0.5
42,0.016374605,"easy","mid",20,"demand_aversive","demand_avoid",1,0.016374605,0,0.5,0.5
42,0.016779121,"easy","mid",25,"demand_aversive","demand_avoid",1,0.016779121,0,0.5,0.5
42,0.01719157,"hard","mid",32,"demand_aversive","demand_avoid",0,0.01719157,0,0.5,0.5
42,0.016802064,"hard","mid",33,"demand_aversive","demand_avoid",0,0.016802064,0,0.5,0.5
42,0.016691725,"hard","mid",24,"demand_aversive","demand_avoid",0,0.016691725,0,0.5,0.5
42,0.01698769,"easy","mid",31,"demand_aversive","demand_avoid",1,0.01698769,0,0.5,0.5
42,0.016907182,"hard","mid",36,"demand_aversive","demand_avoid",0,0.016907182,0,0.5,0.5
42,0.016859276,"hard","mid",30,"demand_aversive","demand_avoid",0,0.016859276,0,0.5,0.5
42,0.016773244,"hard","mid",35,"demand_aversive","demand_avoid",0,0.016773244,0,0.5,0.5
42,0.017174783,"easy","mid",34,"demand_aversive","demand_avoid",1,0.017174783,0,0.5,0.5
45,0.017411132,"hard","mid",1,"no_demand_aversive","demand_avoid",0,0.017411132,0,0.5,0.5
45,0.011078575,"easy","mid",11,"no_demand_aversive","demand_avoid",1,0.011078575,0,0.5,0.5
45,0.017513162,"hard","mid",12,"no_demand_aversive","demand_avoid",0,0.017513162,0,0.5,0.5
45,0.017142862,"hard","mid",13,"no_demand_aversive","demand_avoid",0,0.017142862,0,0.5,0.5
45,0.018100644,"easy","mid",14,"no_demand_aversive","demand_avoid",1,0.018100644,0,0.5,0.5
45,0.011065567,"hard","mid",15,"no_demand_aversive","demand_avoid",0,0.011065567,0,0.5,0.5
45,0.016273546,"hard","mid",16,"no_demand_aversive","demand_avoid",0,0.016273546,0,0.5,0.5
45,0.01615206,"hard","mid",17,"no_demand_aversive","demand_avoid",0,0.01615206,0,0.5,0.5
45,0.016801941,"easy","mid",18,"no_demand_aversive","demand_avoid",1,0.016801941,0,0.5,0.5
45,0.010848628,"easy","mid",19,"no_demand_aversive","demand_avoid",1,0.010848628,0,0.5,0.5
45,0.017264197,"hard","mid",20,"no_demand_aversive","demand_avoid",0,0.017264197,0,0.5,0.5
45,0.016072329,"hard","mid",21,"no_demand_aversive","demand_avoid",0,0.016072329,0,0.5,0.5
45,0.010646474,"easy","mid",22,"no_demand_aversive","demand_avoid",1,0.010646474,0,0.5,0.5
45,0.016587017,"easy","mid",23,"no_demand_aversive","demand_avoid",1,0.016587017,0,0.5,0.5
45,0.017078006,"easy","mid",24,"no_demand_aversive","demand_avoid",1,0.017078006,0,0.5,0.5
45,0.016274974,"easy","mid",25,"no_demand_aversive","demand_avoid",1,0.016274974,0,0.5,0.5
45,0.016849654,"hard","mid",26,"no_demand_aversive","demand_avoid",0,0.016849654,0,0.5,0.5
45,0.016667189,"easy","mid",27,"no_demand_aversive","demand_avoid",1,0.016667189,0,0.5,0.5
45,0.007396471,"easy","mid",28,"no_demand_aversive","demand_avoid",1,0.007396471,0,0.5,0.5
